type,yearpublished,minplayers,maxplayers,playingtime,minage,users_rated,average_rating,bayes_average_rating,total_traders,total_wanters,total_wishers,average_weight
1,1997.0,2.0,4.0,90.0,12.0,17762,7.7634,7.65006,442,929,3778,3.533
1,2004.0,2.0,4.0,180.0,12.0,8325,7.85143,7.6382,326,506,2025,3.8362
1,2012.0,2.0,2.0,90.0,13.0,4727,8.04424,7.62543,360,444,2413,3.5763
1,2011.0,3.0,6.0,240.0,14.0,11938,7.8099,7.61503,246,589,3232,3.5919
1,2012.0,2.0,5.0,120.0,14.0,9702,7.82949,7.61347,409,611,3613,3.176
1,2014.0,2.0,4.0,80.0,13.0,7291,7.84675,7.61009,65,1058,3904,2.8764
1,2011.0,2.0,4.0,90.0,12.0,6871,7.84106,7.60932,143,778,2618,3.6334
1,2014.0,2.0,5.0,45.0,13.0,4632,7.92585,7.59572,51,960,3269,2.6667
1,1876.0,2.0,4.0,30.0,8.0,6198,7.80539,7.59099,37,543,2436,1.2894
1,2013.0,2.0,4.0,120.0,12.0,5383,7.8579,7.58423,86,614,1932,3.4043
1,2013.0,1.0,5.0,200.0,14.0,5546,7.86088,7.5836,145,678,2413,3.4949
1,2007.0,2.0,4.0,45.0,8.0,43788,7.65991,7.58194,1088,634,5358,2.4262
1,2012.0,1.0,4.0,90.0,8.0,9775,7.73519,7.57596,151,1180,4085,2.7469
1,2010.0,2.0,4.0,90.0,12.0,8915,7.73993,7.57297,141,844,2731,3.4515
1,1999.0,2.0,2.0,480.0,14.0,3120,8.0381,7.5726,143,282,1173,3.794
1,2011.0,1.0,4.0,150.0,13.0,6054,7.81642,7.57172,121,902,2772,3.8953
1,2006.0,2.0,2.0,60.0,12.0,6080,7.82838,7.57126,213,574,2057,2.6914
1,2008.0,2.0,4.0,90.0,10.0,23492,7.65109,7.56068,269,1292,5522,2.5083
1,2014.0,1.0,4.0,90.0,13.0,4989,7.85323,7.55488,63,1078,3579,2.6695
1,2006.0,2.0,2.0,180.0,12.0,3786,7.94325,7.54767,120,351,1281,3.1993
1,2014.0,2.0,2.0,20.0,12.0,8821,7.73391,7.54021,181,317,1663,1.9654
1,2013.0,2.0,5.0,100.0,13.0,4665,7.84719,7.53827,51,684,1918,3.1543
1,2005.0,2.0,6.0,120.0,10.0,8530,7.71693,7.53663,232,660,2299,3.0247
1,2009.0,3.0,5.0,90.0,10.0,6827,7.7407,7.53418,176,519,2029,3.4493
1,2004.0,2.0,4.0,90.0,12.0,8663,7.69691,7.53291,181,857,2500,3.3897
1,2014.0,2.0,4.0,120.0,14.0,4065,7.9095,7.52374,71,585,2582,3.659
1,2009.0,3.0,4.0,120.0,13.0,9049,7.70053,7.51643,176,644,2742,3.1354
1,2011.0,2.0,4.0,30.0,9.0,6859,7.75639,7.50886,320,440,2093,2.5015
1,2002.0,1.0,6.0,120.0,13.0,6112,7.72862,7.50262,175,401,1475,3.9276
1,2000.0,2.0,5.0,100.0,12.0,12091,7.63383,7.4979,330,567,1946,3.2559
1,2005.0,2.0,5.0,60.0,8.0,25924,7.59427,7.4909,234,723,3256,1.9674
1,2014.0,1.0,5.0,45.0,17.0,2829,8.01363,7.48766,47,529,1748,2.7079
1,2012.0,2.0,5.0,120.0,13.0,5252,7.77161,7.48083,108,913,3175,2.8949
1,1991.0,3.0,6.0,60.0,10.0,8996,7.65161,7.47668,208,279,1199,2.3426
1,2014.0,2.0,4.0,30.0,10.0,13319,7.61012,7.47336,133,771,3078,1.8246
1,2008.0,3.0,5.0,120.0,12.0,13647,7.61025,7.47012,235,1094,4444,2.524
1,1981.0,1.0,8.0,120.0,10.0,4175,7.80287,7.46665,169,604,2282,2.795
1,2014.0,1.0,4.0,90.0,10.0,5222,7.76455,7.46405,96,909,3385,2.7107
1,-2200.0,2.0,2.0,90.0,8.0,9654,7.70531,7.46289,223,129,1016,3.9491
1,1996.0,2.0,2.0,200.0,12.0,3967,7.83611,7.46251,174,461,1685,3.4004
1,2011.0,1.0,2.0,60.0,13.0,11174,7.64644,7.4569,621,353,1705,3.0646
1,2010.0,2.0,4.0,180.0,14.0,5439,7.76638,7.45399,181,544,2355,3.7241
1,2013.0,1.0,5.0,120.0,14.0,5617,7.70408,7.45099,152,634,2133,3.2678
1,2009.0,2.0,5.0,90.0,12.0,6717,7.64376,7.44871,79,592,1862,3.1297
1,2011.0,2.0,4.0,90.0,12.0,9781,7.60413,7.44662,194,732,2605,3.0743
1,2008.0,1.0,5.0,30.0,12.0,9799,7.60025,7.44112,345,813,3781,2.9041
1,2006.0,3.0,5.0,150.0,12.0,9060,7.61669,7.43994,233,641,2741,3.3679
1,2007.0,2.0,5.0,120.0,10.0,7944,7.62416,7.43791,179,536,2076,3.1352
1,2006.0,2.0,6.0,120.0,13.0,6557,7.66074,7.43674,143,475,1632,3.5717
1,2007.0,2.0,3.0,60.0,8.0,6147,7.68075,7.4351,78,617,1909,2.0045
1,2006.0,2.0,6.0,360.0,12.0,2612,7.95736,7.41996,78,403,1530,4.1142
1,2004.0,2.0,5.0,60.0,8.0,37146,7.50417,7.41694,444,665,3595,1.8876
1,2011.0,2.0,4.0,90.0,13.0,6071,7.6423,7.4125,126,789,2766,3.4844
1,2007.0,2.0,4.0,60.0,10.0,16293,7.5095,7.41212,301,1136,4347,2.3019
1,2009.0,5.0,10.0,30.0,13.0,18472,7.51173,7.40653,551,309,2272,1.624
1,2004.0,2.0,2.0,60.0,8.0,16400,7.52909,7.40514,503,762,3217,2.2715
1,2009.0,2.0,2.0,30.0,12.0,10447,7.54537,7.39982,118,693,2599,1.5704
1,2010.0,2.0,4.0,180.0,13.0,9362,7.57679,7.39051,389,462,2545,3.8266
1,2014.0,2.0,2.0,30.0,8.0,3042,7.84324,7.3904,27,467,1461,1.7593
1,2012.0,1.0,5.0,45.0,14.0,7443,7.6399,7.38437,189,566,2350,2.4503
1,2013.0,2.0,4.0,120.0,12.0,4662,7.66816,7.38139,144,496,1519,3.7288
1,2005.0,2.0,5.0,60.0,12.0,9499,7.52169,7.378,231,867,2748,2.9193
1,2010.0,2.0,4.0,90.0,13.0,9266,7.53118,7.37468,131,1179,3787,2.5572
1,1999.0,2.0,5.0,60.0,12.0,13720,7.47502,7.36975,259,678,2399,2.3577
1,2003.0,2.0,2.0,30.0,9.0,4471,7.65777,7.36671,71,434,1575,2.75
1,1986.0,3.0,5.0,240.0,14.0,4215,7.67833,7.36578,180,482,1461,4.3506
1,2010.0,2.0,5.0,90.0,12.0,5186,7.61184,7.36455,75,586,1639,3.0901
1,2009.0,2.0,2.0,45.0,14.0,4588,7.68159,7.36259,158,604,2599,2.4719
1,2013.0,2.0,2.0,90.0,14.0,1851,8.11344,7.36052,69,460,1584,2.7748
1,2014.0,2.0,5.0,60.0,10.0,5262,7.6166,7.35895,91,581,1892,2.5758
1,2004.0,2.0,2.0,120.0,12.0,2685,7.88086,7.3579,19,55,267,3.1481
1,2009.0,2.0,6.0,120.0,12.0,3279,7.77096,7.35519,57,403,1137,3.4926
1,2012.0,2.0,2.0,30.0,13.0,6131,7.5832,7.35504,134,536,1669,2.3525
1,2009.0,2.0,5.0,90.0,13.0,9094,7.53255,7.3545,160,901,3457,2.8023
1,2011.0,3.0,12.0,30.0,8.0,6904,7.56845,7.34889,47,392,1365,1.2684
1,2012.0,1.0,4.0,120.0,7.0,6961,7.59293,7.34694,248,993,4343,2.6026
1,2000.0,2.0,5.0,45.0,8.0,52781,7.44251,7.34659,981,367,3094,1.9501
1,1986.0,2.0,7.0,360.0,14.0,2876,7.79247,7.34618,88,296,869,4.1182
1,2009.0,2.0,5.0,80.0,8.0,33083,7.4154,7.34043,828,902,5632,2.3736
1,2007.0,2.0,2.0,90.0,12.0,6362,7.56298,7.33997,236,498,1597,3.1927
1,2012.0,2.0,4.0,60.0,14.0,9806,7.49273,7.33935,230,748,3006,2.7476
1,2012.0,2.0,4.0,20.0,10.0,23682,7.42068,7.33764,488,202,1629,1.211
1,2009.0,2.0,4.0,90.0,12.0,9365,7.49085,7.33303,304,587,2706,3.5211
1,2015.0,2.0,4.0,100.0,12.0,1902,8.03507,7.33137,18,508,1623,3.1845
1,2013.0,2.0,6.0,90.0,13.0,2872,7.81614,7.32963,38,634,1712,2.8819
1,2013.0,1.0,5.0,45.0,10.0,1365,8.35915,7.32431,37,300,910,3.0273
1,2008.0,3.0,6.0,30.0,6.0,22099,7.41665,7.32268,286,475,2997,1.2695
1,2013.0,1.0,4.0,90.0,13.0,7070,7.55852,7.32106,465,355,1842,2.7298
1,2011.0,2.0,6.0,30.0,8.0,24727,7.41,7.3204,463,659,3665,1.5103
1,2011.0,3.0,5.0,60.0,13.0,3976,7.68888,7.32031,67,328,2028,2.5701
1,2014.0,3.0,5.0,60.0,13.0,5277,7.58804,7.31909,101,623,2761,1.6667
1,1993.0,2.0,2.0,20.0,13.0,18599,7.43803,7.31069,691,161,316,3.1267
1,2010.0,2.0,4.0,180.0,13.0,2590,7.85222,7.30812,281,376,1740,3.8636
1,1985.0,2.0,2.0,12000.0,14.0,2628,7.88118,7.30671,120,94,479,4.6763
1,2009.0,2.0,2.0,60.0,12.0,5235,7.60757,7.30594,207,440,1479,2.7863
1,2014.0,1.0,2.0,120.0,14.0,1154,8.40627,7.30132,19,506,1465,3.876
1,2009.0,3.0,5.0,90.0,12.0,7371,7.47547,7.29991,133,653,1965,2.9024
1,2012.0,2.0,4.0,240.0,14.0,2933,7.74767,7.2999,54,672,2181,3.5259
1,2011.0,2.0,6.0,120.0,13.0,5977,7.54587,7.29984,146,740,2920,2.6766
1,1998.0,2.0,4.0,60.0,10.0,10620,7.43661,7.2995,233,612,2228,2.5135
1,2014.0,3.0,10.0,10.0,8.0,5261,7.56356,7.29712,88,296,1452,1.3737
1,2000.0,2.0,2.0,30.0,12.0,10102,7.42213,7.28607,244,491,1899,1.9028
1,1979.0,2.0,6.0,180.0,12.0,4105,7.62186,7.28585,149,665,1868,3.4139
1,2013.0,2.0,4.0,60.0,10.0,4758,7.55443,7.28083,84,750,2141,2.7331
1,2008.0,1.0,4.0,60.0,12.0,10871,7.414,7.27792,247,824,3786,2.8839
1,1980.0,2.0,7.0,360.0,12.0,5658,7.53434,7.274,335,235,708,3.6507
1,2010.0,2.0,4.0,180.0,13.0,7629,7.46396,7.27301,217,936,3651,3.1815
1,2007.0,2.0,5.0,100.0,12.0,7365,7.43982,7.27089,98,616,1860,3.1273
1,2005.0,1.0,8.0,240.0,12.0,25688,7.41705,7.26592,1122,480,3770,3.5266
1,2007.0,2.0,5.0,75.0,10.0,8917,7.41164,7.26571,176,614,1761,2.7607
1,2012.0,2.0,5.0,120.0,13.0,4530,7.55475,7.2652,123,717,2302,2.9446
1,2001.0,2.0,2.0,20.0,9.0,16014,7.35745,7.25844,395,506,2597,2.3493
1,2012.0,2.0,2.0,60.0,12.0,3422,7.62096,7.2566,66,527,1475,2.3826
1,2011.0,2.0,2.0,180.0,12.0,1587,8.03582,7.2565,33,440,1336,2.7016
1,2011.0,1.0,5.0,60.0,8.0,8101,7.4644,7.25612,451,320,1643,2.4806
1,2004.0,2.0,4.0,180.0,14.0,1995,7.83926,7.25466,45,609,1547,4.2794
1,2011.0,2.0,2.0,120.0,14.0,5271,7.49275,7.25258,248,567,2206,3.0176
1,2010.0,2.0,5.0,25.0,8.0,15102,7.34435,7.25241,368,320,1738,1.6809
1,1962.0,3.0,6.0,90.0,12.0,13428,7.37367,7.2514,750,469,1912,2.5141
1,2011.0,2.0,5.0,120.0,13.0,8357,7.45817,7.23987,290,485,3019,3.2326
1,2006.0,2.0,2.0,60.0,10.0,8244,7.43642,7.23846,564,363,1624,2.7618
1,1999.0,2.0,4.0,120.0,10.0,11909,7.3544,7.23136,392,531,2023,2.8419
1,2013.0,2.0,5.0,45.0,10.0,7943,7.41603,7.22974,230,543,2780,2.0352
1,2004.0,2.0,4.0,60.0,10.0,11268,7.34764,7.22809,219,519,1672,2.4738
1,2009.0,2.0,3.0,210.0,14.0,1549,8.00086,7.22596,46,345,962,3.4835
1,2014.0,2.0,4.0,60.0,13.0,1490,8.11252,7.2259,20,395,1374,2.5086
1,2006.0,2.0,5.0,60.0,8.0,6904,7.42395,7.22457,147,376,1215,2.2444
1,2009.0,2.0,4.0,100.0,12.0,5090,7.45896,7.22289,99,627,1600,3.1292
1,2006.0,2.0,4.0,30.0,13.0,7457,7.43348,7.22287,264,434,2047,2.5825
1,2011.0,2.0,4.0,45.0,8.0,11282,7.36178,7.21935,167,756,3186,1.9756
1,2004.0,2.0,4.0,60.0,10.0,16622,7.31069,7.21863,396,502,2040,2.2937
1,2011.0,2.0,5.0,60.0,10.0,3761,7.53508,7.21861,83,438,1344,3.0063
1,2005.0,2.0,2.0,30.0,14.0,3719,7.54569,7.21397,134,243,892,2.1965
1,1995.0,3.0,4.0,90.0,10.0,53680,7.34303,7.21171,1071,391,3201,2.3712
1,1994.0,2.0,2.0,180.0,12.0,3918,7.58641,7.21002,101,178,464,2.9631
1,2011.0,1.0,6.0,45.0,10.0,9380,7.36197,7.20995,430,470,2329,2.2246
1,2011.0,2.0,4.0,90.0,14.0,6432,7.41711,7.20994,242,237,1085,2.3105
1,2005.0,2.0,5.0,240.0,14.0,2217,7.71284,7.20811,20,626,1403,3.991
1,2005.0,2.0,5.0,240.0,12.0,9599,7.39014,7.20761,412,338,1699,3.3312
1,1982.0,2.0,4.0,60.0,8.0,9914,7.35316,7.20684,305,649,2507,1.7175
1,2012.0,1.0,6.0,60.0,13.0,7425,7.46361,7.20598,209,466,2391,2.5833
1,2010.0,2.0,4.0,90.0,13.0,4941,7.43755,7.20346,104,415,1304,2.8775
1,2012.0,1.0,5.0,90.0,12.0,3399,7.58341,7.20305,190,230,1011,2.7379
1,2010.0,2.0,4.0,60.0,10.0,7066,7.37719,7.20054,227,542,1887,2.634
1,2003.0,3.0,5.0,90.0,12.0,6707,7.38285,7.20005,196,395,1188,3.0686
1,2013.0,1.0,4.0,75.0,12.0,3695,7.52766,7.19883,73,632,1857,2.9167
1,2006.0,2.0,4.0,120.0,12.0,11391,7.32418,7.19824,281,792,3083,2.8351
1,1999.0,1.0,4.0,240.0,14.0,2113,7.73028,7.19459,68,556,1414,4.1793
1,2011.0,2.0,5.0,90.0,8.0,5388,7.44533,7.19388,150,421,1664,2.6035
1,2002.0,2.0,2.0,180.0,12.0,3187,7.58914,7.19385,104,482,1399,2.9888
1,2014.0,1.0,4.0,120.0,12.0,1473,7.98137,7.18809,26,467,1509,3.541
1,1992.0,3.0,5.0,45.0,10.0,10456,7.31527,7.18274,350,408,1409,2.3349
1,2009.0,2.0,4.0,75.0,12.0,3824,7.4863,7.18267,44,498,1182,2.8358
1,2009.0,4.0,8.0,30.0,12.0,4019,7.48622,7.17822,78,175,880,1.1173
1,2002.0,3.0,5.0,150.0,12.0,3151,7.55854,7.17632,119,290,798,3.3184
1,2009.0,1.0,4.0,120.0,10.0,5924,7.37653,7.16898,205,551,1733,3.1595
1,2000.0,3.0,5.0,100.0,12.0,5828,7.37255,7.16685,197,338,967,3.0082
1,2004.0,2.0,7.0,240.0,13.0,3197,7.53928,7.16434,154,260,889,3.6084
1,2014.0,2.0,2.0,15.0,14.0,3402,7.55243,7.16353,369,267,776,2.2568
1,2010.0,2.0,5.0,70.0,10.0,5851,7.361,7.16236,92,703,1812,2.6736
1,2003.0,3.0,5.0,180.0,12.0,8779,7.35138,7.16028,420,236,1176,3.4428
1,2004.0,2.0,4.0,90.0,8.0,6375,7.41902,7.15923,489,216,678,2.2914
1,2009.0,3.0,5.0,120.0,12.0,4290,7.41267,7.15272,144,376,1127,3.5199
1,2010.0,2.0,4.0,135.0,12.0,2963,7.5575,7.15254,88,450,1346,4.1578
1,2007.0,2.0,2.0,180.0,12.0,1403,7.97578,7.15182,39,364,1079,3.5949
1,2007.0,2.0,5.0,90.0,13.0,12484,7.26048,7.14756,168,900,3088,2.4249
1,2013.0,2.0,4.0,120.0,10.0,1496,7.92564,7.14586,18,439,1144,2.2885
1,2014.0,2.0,6.0,40.0,10.0,4224,7.44591,7.1454,109,472,1980,1.7992
1,1983.0,2.0,3.0,60.0,12.0,1727,7.8361,7.14522,99,286,688,3.364
1,2013.0,2.0,5.0,125.0,13.0,2024,7.71912,7.14519,41,339,942,3.5419
1,2013.0,2.0,5.0,120.0,12.0,2572,7.59907,7.14278,43,423,1087,3.0599
1,2008.0,2.0,2.0,180.0,12.0,1128,8.14554,7.13985,30,257,645,3.1933
1,2008.0,1.0,4.0,120.0,10.0,2668,7.6151,7.13936,208,211,954,2.9934
1,2010.0,2.0,4.0,60.0,12.0,8688,7.28797,7.13895,314,501,2156,2.7021
1,2012.0,3.0,4.0,150.0,17.0,3404,7.54437,7.13708,150,195,879,2.6716
1,2010.0,2.0,2.0,90.0,14.0,1445,7.96623,7.13434,51,237,695,2.7277
1,2010.0,1.0,2.0,180.0,12.0,2561,7.60999,7.13042,187,290,1190,3.538
1,2011.0,2.0,5.0,75.0,10.0,4315,7.40412,7.12866,104,578,1668,2.4348
1,2012.0,2.0,2.0,150.0,12.0,1332,7.98436,7.12747,76,255,857,3.2555
1,2007.0,2.0,4.0,60.0,10.0,5888,7.32514,7.12137,90,626,1596,2.5388
1,1990.0,1.0,6.0,300.0,14.0,3028,7.55831,7.12071,160,268,1085,4.2564
1,2012.0,2.0,5.0,240.0,14.0,3514,7.4618,7.11429,101,681,2478,3.6939
1,2000.0,2.0,8.0,60.0,10.0,31243,7.18886,7.11014,940,401,2604,2.0638
1,2014.0,2.0,2.0,15.0,14.0,1925,7.7381,7.10907,209,92,234,2.3131
1,1997.0,3.0,6.0,20.0,8.0,11814,7.21302,7.10764,200,735,2421,1.2951
1,2011.0,2.0,5.0,120.0,12.0,4016,7.40414,7.10754,144,477,1569,3.0219
1,2012.0,2.0,6.0,45.0,14.0,5865,7.31006,7.10718,144,730,2596,2.2348
1,2004.0,1.0,4.0,45.0,10.0,11365,7.22297,7.10641,337,320,1621,1.9434
1,2012.0,2.0,6.0,15.0,9.0,11832,7.22903,7.10635,364,264,1573,1.4298
1,2012.0,2.0,2.0,60.0,10.0,3254,7.51596,7.10517,307,171,728,2.8889
1,2008.0,4.0,18.0,90.0,12.0,1536,7.81814,7.10429,54,130,454,1.2162
1,1994.0,2.0,8.0,120.0,12.0,16798,7.20173,7.10115,478,610,2493,2.4426
1,2011.0,2.0,4.0,75.0,14.0,2328,7.65049,7.10017,100,436,1475,3.0356
1,2005.0,2.0,4.0,90.0,12.0,6803,7.28534,7.09865,371,431,1806,2.2222
1,2009.0,1.0,6.0,120.0,12.0,6324,7.31249,7.09641,195,665,2502,2.1794
1,2013.0,2.0,6.0,60.0,13.0,3594,7.43991,7.09474,89,520,1514,3.0512
1,2009.0,2.0,4.0,60.0,9.0,4144,7.41268,7.09457,91,216,1152,2.2878
1,2009.0,2.0,5.0,90.0,12.0,4859,7.32219,7.09385,162,601,1792,3.1814
1,2014.0,2.0,4.0,90.0,14.0,2638,7.51877,7.0929,62,482,1669,2.8627
1,2010.0,1.0,4.0,90.0,13.0,3793,7.42753,7.09209,154,640,2517,2.7143
1,2011.0,2.0,5.0,75.0,13.0,5008,7.3118,7.0912,104,677,1986,2.6676
1,2014.0,2.0,5.0,30.0,8.0,2669,7.51992,7.09089,52,420,1660,2.0941
1,2012.0,2.0,4.0,45.0,12.0,4235,7.35789,7.09034,186,421,1369,2.404
1,2012.0,3.0,6.0,30.0,8.0,2620,7.55235,7.08807,75,132,513,1.2783
1,2013.0,2.0,4.0,90.0,10.0,2650,7.51183,7.08784,61,450,1273,3.0
1,2013.0,1.0,4.0,120.0,13.0,4061,7.42511,7.08656,141,393,1637,2.8971
1,2013.0,2.0,4.0,45.0,12.0,3357,7.47553,7.08644,164,107,442,2.1212
1,2013.0,2.0,7.0,60.0,8.0,2129,7.62476,7.08388,26,588,2429,1.8993
1,2011.0,1.0,4.0,180.0,13.0,3031,7.52478,7.0825,143,315,1154,2.8849
1,2007.0,2.0,6.0,180.0,12.0,5476,7.34969,7.08244,203,394,1548,3.8159
1,2014.0,3.0,5.0,120.0,12.0,1504,7.92656,7.08135,24,590,1933,3.0925
1,2001.0,2.0,2.0,30.0,9.0,3279,7.42194,7.07294,86,217,712,2.6935
1,2011.0,1.0,1.0,25.0,10.0,5333,7.28685,7.07115,268,271,1116,2.1278
1,2014.0,1.0,4.0,120.0,12.0,1016,8.28743,7.0696,30,354,1501,3.3964
1,2012.0,2.0,4.0,90.0,14.0,4436,7.36121,7.06913,161,522,2139,2.6954
1,2004.0,2.0,2.0,120.0,13.0,1728,7.76665,7.06879,87,115,410,3.7325
1,1999.0,4.0,18.0,90.0,12.0,3356,7.39202,7.06206,91,100,489,1.2175
1,2012.0,1.0,5.0,45.0,13.0,2927,7.43355,7.06076,54,428,1143,2.877
1,2009.0,2.0,4.0,30.0,9.0,1867,7.67679,7.06035,113,99,224,2.2817
1,1995.0,2.0,8.0,30.0,6.0,6475,7.23398,7.05748,117,776,1996,1.1304
1,2010.0,2.0,5.0,120.0,13.0,2323,7.51948,7.05704,71,293,796,3.3636
1,2007.0,2.0,4.0,30.0,10.0,6024,7.24749,7.05646,119,608,2146,1.6965
1,2009.0,2.0,4.0,30.0,9.0,1750,7.71589,7.05572,124,92,213,2.2656
1,2005.0,2.0,5.0,180.0,10.0,7547,7.24352,7.0542,192,806,3036,2.9355
1,2005.0,3.0,7.0,80.0,10.0,16593,7.15498,7.05003,501,883,4551,2.5583
1,2006.0,2.0,4.0,60.0,13.0,13543,7.14671,7.04934,397,445,1628,2.2677
1,2013.0,1.0,6.0,60.0,13.0,1742,7.74507,7.04476,91,165,529,2.7586
1,2007.0,2.0,2.0,30.0,0.0,1723,7.66261,7.04341,25,259,873,2.6104
1,2014.0,2.0,4.0,120.0,12.0,1384,7.83988,7.04328,23,444,1443,4.2056
1,2013.0,3.0,5.0,120.0,14.0,2091,7.56833,7.0426,60,490,1539,2.9034
1,1999.0,2.0,2.0,30.0,10.0,21839,7.122,7.04101,504,450,2310,1.5246
1,2007.0,2.0,6.0,60.0,12.0,5211,7.2464,7.04059,185,302,867,2.7849
1,2007.0,2.0,4.0,60.0,8.0,6734,7.21282,7.03889,145,490,1577,2.1732
1,2010.0,2.0,2.0,90.0,0.0,1667,7.67706,7.03711,80,277,816,2.8479
1,2014.0,2.0,4.0,100.0,12.0,2219,7.52369,7.03557,80,304,1107,3.6073
1,2009.0,2.0,4.0,180.0,13.0,3028,7.42501,7.0336,156,297,1302,3.5291
1,2009.0,2.0,2.0,45.0,13.0,4549,7.33484,7.03191,403,104,586,2.7327
1,2007.0,2.0,5.0,120.0,10.0,6330,7.21925,7.03016,212,334,1186,3.2642
1,1989.0,2.0,4.0,45.0,12.0,2923,7.46642,7.02663,50,211,485,2.5065
1,2002.0,2.0,2.0,30.0,12.0,5487,7.23896,7.02565,246,166,625,2.1922
1,2012.0,1.0,5.0,10.0,8.0,8124,7.16947,7.02289,271,520,2327,1.4713
1,2005.0,3.0,5.0,75.0,12.0,5056,7.23866,7.02079,306,222,688,2.3592
1,2008.0,3.0,4.0,90.0,13.0,3136,7.3599,7.01973,123,212,581,2.8274
1,2012.0,2.0,4.0,30.0,12.0,3558,7.3256,7.01919,135,515,1912,2.2682
1,2004.0,3.0,4.0,210.0,12.0,1979,7.57793,7.0179,101,259,792,3.1637
1,2012.0,1.0,5.0,90.0,10.0,2309,7.48597,7.01651,63,395,991,3.0047
1,2009.0,2.0,4.0,120.0,12.0,3329,7.34945,7.01546,115,183,759,3.2351
1,1997.0,2.0,7.0,45.0,13.0,23661,7.09221,7.0112,622,279,1496,1.6803
1,2011.0,1.0,5.0,60.0,12.0,3155,7.42993,7.01099,145,345,1360,2.6422
1,2002.0,2.0,5.0,45.0,8.0,8753,7.16076,7.00714,267,206,754,1.9221
1,1999.0,2.0,4.0,60.0,12.0,6396,7.19471,7.00643,293,352,1210,2.8748
1,2012.0,2.0,6.0,420.0,12.0,919,8.17278,7.005,35,209,753,4.3007
1,2015.0,2.0,4.0,180.0,14.0,827,8.38007,7.00192,18,355,1326,3.6985
1,2013.0,2.0,2.0,30.0,13.0,1507,7.71187,7.00004,49,307,1031,2.6071
1,2010.0,1.0,4.0,100.0,12.0,2463,7.42093,6.9999,42,487,1288,3.2996
1,2009.0,2.0,4.0,90.0,12.0,2779,7.36947,6.99979,116,291,803,3.0551
1,2011.0,1.0,5.0,45.0,12.0,2271,7.47643,6.99962,179,109,503,2.6847
